Id,SalePrice
1461,112008.70789617093
1462,154273.50091587997
1463,175989.72853624256
1464,192227.3409725129
1465,194571.73363841622
1466,171773.41463867977
1467,170950.98460299702
1468,166708.16186744618
1469,203964.1623306507
1470,114038.3085900589
1471,210842.02568184206
1472,111126.17903902663
1473,97384.09402520265
1474,173121.4240408554
1475,129423.53628450885
1476,371450.1596458177
1477,250435.2615216812
1478,329275.16505102126
1479,314039.3841564669
1480,439362.4864929135
1481,310307.6837118828
1482,237715.4698707588
1483,174545.70218876324
1484,181155.18761361841
1485,201999.79417844117
1486,207243.89966999213
1487,338089.02860426035
1488,226288.00613839118
1489,185950.7286234989
1490,226073.7848661412
1491,194848.03353533673
1492,94678.71663044038
1493,216584.13576894213
1494,306317.2152368119
1495,305379.42607419856
1496,253181.30067303317
1497,186567.017462386
1498,174731.5910917065
1499,176819.11524615585
1500,163095.22573855333
1501,184411.1808696821
1502,173622.4052721253
1503,278503.80077930784
1504,234242.32136160994
1505,210196.15812111515
1506,185069.84865423496
1507,230582.82005715545
1508,195611.63763449236
1509,160385.83948777147
1510,135367.9710922843
1511,133164.03099575872
1512,160303.4582577386
1513,166708.69071576407
1514,149972.930235919
1515,198779.1716957934
1516,158420.15848794847
1517,184654.36211396914
1518,152284.12038585756
1519,211044.60582372465
1520,120492.54219354986
1521,122470.58196244248
1522,179638.12272737635
1523,103906.53221411067
1524,114149.66285751203
1525,105554.26906401281
1526,117829.24082375411
1527,98009.19229912339
1528,143255.0165805976
1529,140102.68024351014
1530,195965.06080947508
1531,135303.82919551712
1532,85236.03529141884
1533,131899.4722520799
1534,123747.00078917365
1535,144637.96104388186
1536,96877.75563095893
1537,51404.18299094106
1538,164567.3357582175
1539,203929.0856301039
1540,126097.73973149172
1541,144170.39348147297
1542,135212.70567465905
1543,184293.73809238346
1544,64721.536652535215
1545,103683.57939226239
1546,139438.35453431192
1547,129634.68390837449
1548,125770.77424843889
1549,117554.89894805732
1550,132798.82223577856
1551,116115.59612535557
1552,146249.6685128428
1553,145744.7293904208
1554,123105.27649874019
1555,154092.57319232816
1556,106845.14477132747
1557,100807.57622059107
1558,113109.75810989598
1559,105327.99552575618
1560,160261.9816953025
1561,112258.74552183152
1562,118017.2535315081
1563,119034.01521430204
1564,172308.4783315554
1565,155607.5806538594
1566,235661.65362002578
1567,72968.33188920125
1568,217596.07677152136
1569,136426.42680518798
1570,148442.37143456633
1571,125342.38841351606
1572,141837.94517408317
1573,224789.14856184833
1574,146434.34604810085
1575,224508.77839119785
1576,230300.37500203034
1577,178392.9977405235
1578,152673.5740922226
1579,134252.57218102107
1580,193323.53735425856
1581,147701.72693047705
1582,120344.38890183173
1583,260883.34401233064
1584,222007.4384882334
1585,142125.32446210895
1586,67204.46697434084
1587,107925.88193670727
1588,157527.40982049808
1589,104820.3961353653
1590,136413.81000030594
1591,83106.62035141629
1592,130028.84817027225
1593,129757.7968678799
1594,140746.7621966477
1595,128779.98773966503
1596,204112.70931355236
1597,187335.9576240558
1598,188301.65601598338
1599,207072.40743921616
1600,192557.8799504056
1601,29518.845895173406
1602,114664.24769635181
1603,96206.3160042488
1604,268340.6029610862
1605,240030.55044961895
1606,171784.8763681274
1607,194271.6218083629
1608,206331.08430305021
1609,190656.13875512226
1610,142395.63264955327
1611,140148.83196725493
1612,186050.87439662422
1613,157182.25663794606
1614,142587.85408377877
1615,87947.51298332511
1616,77029.14706461906
1617,87178.59981232128
1618,118027.54841127423
1619,134000.0720726404
1620,191029.3093033766
1621,128080.00342983459
1622,152375.3011441782
1623,264738.87317034515
1624,216192.67084514064
1625,121890.44964167353
1626,171370.83993884112
1627,185132.1658255543
1628,284319.1773489676
1629,177357.5481064582
1630,315762.99363101943
1631,206145.558835753
1632,224598.76713142043
1633,192944.52362104657
1634,186233.86741183646
1635,180789.8195464908
1636,149558.86730092572
1637,159760.6863215948
1638,204090.6559698837
1639,173648.6908384052
1640,232950.84041697803
1641,175794.88123703474
1642,256783.8874108943
1643,219018.02026005345
1644,227003.7129636248
1645,176922.57381901273
1646,155906.36054196063
1647,171121.92172425147
1648,134885.86350140753
1649,117716.4536965153
1650,107924.41670216838
1651,113144.21076867287
1652,107131.19640787151
1653,104430.65454335237
1654,166128.38988983294
1655,159947.36627248448
1656,161209.2832734344
1657,164551.85742646642
1658,173200.20593239012
1659,135592.61246611451
1660,145982.61256731278
1661,411385.98092547484
1662,374227.6406726681
1663,368054.9434116486
1664,445968.487246941
1665,333636.10097863874
1666,325150.11259131774
1667,364761.191761367
1668,356612.35305760574
1669,330829.84213586577
1670,361406.6919715165
1671,245004.29989385552
1672,381865.73068158934
1673,277478.08067181474
1674,247372.64391366343
1675,214202.55509200715
1676,215734.3939977553
1677,223902.12534818615
1678,448721.9981891135
1679,374636.7387420225
1680,357503.61530699575
1681,311733.18867542036
1682,312215.26929394994
1683,208108.01844902165
1684,195430.96336161898
1685,190821.25670045585
1686,188673.99423693563
1687,194603.03969485074
1688,198990.99354304216
1689,212271.45880755855
1690,208914.53903406218
1691,201403.96555668136
1692,272293.8751835703
1693,198242.12676581275
1694,185847.63815523958
1695,173220.45986445865
